eeschema (2013-04-19 BZR 4011)-stable  >> Creation date: 9/2/2013 2:07:54 AM
#Cmp ( order = Reference ) (with SubCmp)
| C206       1u          Loc /(X=650.240 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C207       1u          Loc /(X=650.240 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C208       1u          Loc /(X=650.240 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C209       1u          Loc /(X=650.240 mm, Y=453.390 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C210       1u          Loc /(X=651.510 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C211       1u          Loc /(X=679.450 mm, Y=77.470 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C212       1u          Loc /(X=679.450 mm, Y=83.820 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C213       1u          Loc /(X=679.450 mm, Y=90.170 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C214       1u          Loc /(X=679.450 mm, Y=96.520 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C215       1u          Loc /(X=679.450 mm, Y=102.870 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C216       1u          Loc /(X=679.450 mm, Y=201.930 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C217       1u          Loc /(X=679.450 mm, Y=208.280 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C218       1u          Loc /(X=679.450 mm, Y=214.630 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C219       1u          Loc /(X=679.450 mm, Y=220.980 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C220       1u          Loc /(X=679.450 mm, Y=227.330 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C221       1u          Loc /(X=679.450 mm, Y=346.710 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C222       1u          Loc /(X=679.450 mm, Y=353.060 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C223       1u          Loc /(X=679.450 mm, Y=359.410 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C224       1u          Loc /(X=679.450 mm, Y=365.760 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C225       1u          Loc /(X=679.450 mm, Y=372.110 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C226       1u          Loc /(X=680.720 mm, Y=477.520 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C227       1u          Loc /(X=680.720 mm, Y=483.870 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C228       1u          Loc /(X=680.720 mm, Y=490.220 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C229       1u          Loc /(X=680.720 mm, Y=496.570 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
